subject,party,prime_type,rating,self_exclusion_1,complete_data,prime_identity
14993216,democrat,prime_type_B,1,"Yes, use my data",TRUE,6
14993216,democrat,prime_type_B,0,"Yes, use my data",TRUE,3
14993216,democrat,prime_type_A,1,"Yes, use my data",TRUE,5
14993216,democrat,prime_type_B,0,"Yes, use my data",TRUE,1
14993216,democrat,prime_type_B,1,"Yes, use my data",TRUE,5
14993216,democrat,prime_type_A,0,"Yes, use my data",TRUE,3
14993216,democrat,prime_type_B,1,"Yes, use my data",TRUE,6
14993216,democrat,prime_type_A,0,"Yes, use my data",TRUE,6
14993216,democrat,prime_type_A,0,"Yes, use my data",TRUE,1
14993216,democrat,prime_type_A,1,"Yes, use my data",TRUE,4
14993216,democrat,prime_type_A,0,"Yes, use my data",TRUE,5
14993216,democrat,prime_type_A,1,"Yes, use my data",TRUE,6
14993216,democrat,prime_type_A,1,"Yes, use my data",TRUE,1
14993216,democrat,prime_type_A,0,"Yes, use my data",TRUE,2
14993216,democrat,prime_type_B,1,"Yes, use my data",TRUE,2
14993216,democrat,prime_type_A,0,"Yes, use my data",TRUE,3
14993216,democrat,prime_type_B,1,"Yes, use my data",TRUE,4
14993216,democrat,prime_type_A,0,"Yes, use my data",TRUE,6
14993216,democrat,prime_type_A,1,"Yes, use my data",TRUE,2
14993216,democrat,prime_type_B,1,"Yes, use my data",TRUE,4
14993216,democrat,prime_type_B,1,"Yes, use my data",TRUE,6
14993216,democrat,prime_type_B,0,"Yes, use my data",TRUE,1
14993216,democrat,prime_type_A,1,"Yes, use my data",TRUE,5
14993216,democrat,prime_type_A,0,"Yes, use my data",TRUE,3
14993216,democrat,prime_type_B,1,"Yes, use my data",TRUE,5
14993216,democrat,prime_type_A,0,"Yes, use my data",TRUE,1
14993216,democrat,prime_type_B,1,"Yes, use my data",TRUE,3
17703893,democrat,prime_type_B,0,"No, exclude my data (please specify why):",TRUE,4
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,5
17703893,democrat,prime_type_A,0,"No, exclude my data (please specify why):",TRUE,5
17703893,democrat,prime_type_B,1,"No, exclude my data (please specify why):",TRUE,3
