"date","time","subject","blockcode","blocknum","trialcode","trialnum","values.primestim","values.targetstim","correct","latency","trial.prime_obama.totalpercentcorrect","trial.prime_trump.totalpercentcorrect"
"081218","05:38:06","153835479","test","2","prime_obama","52","5","21","0","259","78","73"
"081218","05:38:06","153835479","test","2","prime_trump","53","6","11","0","274","78","70"
"081218","05:38:06","153835479","test","2","prime_trump","54","1","70","0","177","78","68"
"081218","05:38:06","153835479","test","2","prime_obama","55","4","8","0","252","75","68"
"081218","05:38:06","153835479","test","2","prime_trump","56","6","31","0","252","75","65"
"081218","05:38:06","153835479","test","2","prime_trump","57","2","62","0","220","75","62"
"081218","05:38:06","153835479","test","2","prime_trump","58","5","34","0","237","75","60"
"081218","05:38:06","153835479","test","2","prime_obama","59","6","44","1","269","76","60"
"081218","05:38:06","153835479","test","2","prime_trump","60","4","15","0","149","76","58"
"081218","05:38:06","153835479","test","2","prime_trump","61","3","66","0","425","76","56"
"081218","05:38:06","153835479","test","2","prime_trump","62","1","58","0","209","76","54"
"081218","05:38:06","153835479","test","2","prime_obama","63","2","4","1","323","77","54"
"081218","05:38:06","153835479","test","2","prime_trump","64","3","26","0","304","77","53"
"081218","05:38:06","153835479","test","2","prime_obama","65","6","37","0","253","75","53"
"081218","05:38:06","153835479","test","2","prime_obama","66","2","59","0","188","72","53"
"081218","05:38:06","153835479","test","2","prime_obama","67","5","6","0","262","70","53"
"081218","05:38:06","153835479","test","2","prime_trump","68","4","51","1","158","70","54"
"081218","05:38:06","153835479","test","2","prime_obama","69","4","29","1","465","71","54"
"081218","05:38:06","153835479","test","2","prime_obama","70","1","58","1","232","72","54"
"081218","05:38:06","153835479","test","2","prime_trump","71","1","17","0","121","72","52"
"081218","05:38:06","153835479","test","2","prime_trump","72","2","70","0","334","72","51"
"081218","05:38:06","153835479","test","2","prime_trump","73","6","12","0","227","72","50"
"081218","08:44:38","648364945","practice","1","prime_obama_practice","4","0","0","1","1291","0","0"
"081218","08:44:38","648364945","practice","1","prime_trump_practice","5","0","0","0","509","0","0"
"081218","08:44:38","648364945","practice","1","prime_obama_practice","6","0","0","1","696","0","0"
"081218","08:44:38","648364945","practice","1","prime_trump_practice","7","0","0","1","1390","0","0"
"081218","08:44:38","648364945","practice","1","prime_trump_practice","8","0","0","1","697","0","0"
"081218","08:44:38","648364945","practice","1","prime_trump_practice","9","0","0","0","556","0","0"
"081218","08:44:38","648364945","practice","1","prime_obama_practice","10","0","0","0","742","0","0"
