date,time,subject,blockcode,blocknum,trialcode,trialnum,values.primestim,values.targetstim,correct,latency,trial.prime_obama.totalpercentcorrect,trial.prime_trump.totalpercentcorrect
80918,17:22:40,743970945,practice,1,prime_trump_practice,4,0,0,0,2405,0,0
80918,17:22:40,743970945,practice,1,prime_trump_practice,5,0,0,0,1377,0,0
80918,17:22:40,743970945,practice,1,prime_obama_practice,6,0,0,0,1527,0,0
80918,17:22:40,743970945,practice,1,prime_obama_practice,7,0,0,1,972,0,0
80918,17:22:40,743970945,practice,1,prime_obama_practice,8,0,0,0,1022,0,0
80918,17:22:40,743970945,practice,1,prime_trump_practice,9,0,0,0,1608,0,0
80918,17:22:40,743970945,practice,1,prime_trump_practice,10,0,0,1,981,0,0
80918,17:22:40,743970945,practice,1,prime_obama_practice,11,0,0,1,1042,0,0
80918,17:22:40,743970945,practice,1,prime_obama_practice,12,0,0,0,788,0,0
80918,17:22:40,743970945,practice,1,prime_trump_practice,13,0,0,1,734,0,0
80918,17:22:40,743970945,test,2,prime_trump,2,3,19,0,772,0,0
80918,17:22:40,743970945,test,2,prime_trump,3,2,33,0,568,0,0
80918,17:22:40,743970945,test,2,prime_obama,4,5,47,1,408,100,0
80918,17:22:40,743970945,test,2,prime_trump,5,1,5,0,655,100,0
80918,17:22:40,743970945,test,2,prime_trump,6,3,55,0,474,100,0
80918,17:22:40,743970945,test,2,prime_obama,7,2,42,1,1117,100,0
80918,11:49:20,347524095,practice,1,prime_trump_practice,4,0,0,0,894,0,0
80918,11:49:20,347524095,practice,1,prime_obama_practice,5,0,0,1,599,0,0
80918,11:49:20,347524095,practice,1,prime_trump_practice,6,0,0,0,500,0,0
80918,11:49:20,347524095,practice,1,prime_trump_practice,7,0,0,0,381,0,0
80918,11:49:20,347524095,practice,1,prime_obama_practice,8,0,0,1,891,0,0
80918,11:49:20,347524095,practice,1,prime_obama_practice,9,0,0,1,478,0,0
80918,11:49:20,347524095,practice,1,prime_obama_practice,10,0,0,0,496,0,0
80918,11:49:20,347524095,practice,1,prime_trump_practice,11,0,0,0,490,0,0
80918,11:49:20,347524095,practice,1,prime_obama_practice,12,0,0,1,1188,0,0
80918,11:49:20,347524095,practice,1,prime_trump_practice,13,0,0,0,546,0,0
80918,11:49:20,347524095,test,2,prime_trump,2,3,3,0,515,0,0
80918,11:49:20,347524095,test,2,prime_obama,3,3,53,0,828,0,0
80918,11:49:20,347524095,test,2,prime_trump,4,4,28,0,920,0,0
80918,11:49:20,347524095,test,2,prime_trump,5,3,37,0,809,0,0
80918,11:49:20,347524095,test,2,prime_obama,6,3,48,1,710,50,0
80918,11:49:20,347524095,test,2,prime_obama,7,5,27,1,464,66,0
80918,11:49:20,347524095,test,2,prime_obama,8,6,12,0,915,50,0
80918,11:49:20,347524095,test,2,prime_trump,9,1,36,1,1533,50,25
80918,11:49:20,347524095,test,2,prime_obama,10,1,13,0,1084,40,25
