subject,age,gender,AMP_effect_positive_negative,mean_response_amp_posneg,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,complete_data
330579327,27,Male,NA,NA,NA,NA,NA,6,6,2,"No, exclude my data (please specify why):",I struggled to get the programme to work properly,6,FALSE
331448779,22,female,-0.22,0.5,0,0,0.94,7,2,2,"Yes, use my data",,2,TRUE
337066657,35,Female,-0.14,0.319,0.03,0.03,0,7,1,1,"Yes, use my data",,1,TRUE
344033800,38,Male,0.14,0.486,0.47,-0.08,0.56,7,4,2,"Yes, use my data",,4,TRUE
344603030,20,Male,0.08,0.514,-0.03,-0.03,0,7,1,1,"Yes, use my data",,2,TRUE
347479845,32,Male,0.61,0.694,-0.14,0,0.85,7,5,3,"Yes, use my data",,3,TRUE
347568400,28,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
350301937,21,female,0.58,0.375,0.56,0.56,0,4,1,1,"Yes, use my data",,1,TRUE
353533557,44,Female,-0.06,0.889,-0.19,-0.19,0,7,1,1,"Yes, use my data",,1,TRUE
354547274,32,FEMALE,0.83,0.5,0.78,0.42,0.62,7,7,5,"Yes, use my data",,6,TRUE
355139417,48,female,0.42,0.542,0.78,0.3,0.9,7,6,6,"Yes, use my data",,7,TRUE
360735852,30,male,0.86,0.569,0.83,0.86,0.28,4,5,4,"Yes, use my data",,4,TRUE
363470281,35,female,-0.03,0.819,0.25,0.15,0.18,6,4,1,"Yes, use my data",,4,TRUE
364261625,38,Male,-0.03,0.542,0.22,0.2,0.03,7,2,1,"Yes, use my data",,3,TRUE
368594012,38,Male,0.36,0.486,0.33,-0.36,0.51,7,4,4,"Yes, use my data",,3,TRUE
370651236,24,Male,0.56,0.333,0.64,NA,1,7,7,5,"Yes, use my data",,7,TRUE
373367461,32,male,-0.17,0.694,0.06,0.03,0.01,7,2,1,"Yes, use my data",,2,TRUE
380785653,20,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
386635382,38,Male,0.06,0.222,0.08,0.08,0,7,1,1,"Yes, use my data",,1,TRUE
387617282,29,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
387783740,41,male,0.53,0.653,0.72,0.75,0.33,3,3,7,"Yes, use my data",,6,TRUE
388421664,29,male,-0.14,0.681,-0.14,-0.27,0.1,7,3,2,"Yes, use my data",,2,TRUE
389217149,23,Male,0.03,0.569,0.08,-0.26,0.32,7,4,3,"Yes, use my data",,5,TRUE
392174335,32,male,0.56,0.417,0.69,0.54,0.36,4,5,4,"Yes, use my data",,3,TRUE
395053396,20,Male,0.89,0.556,0.81,0.83,0.04,5,5,4,"Yes, use my data",,6,TRUE
401033296,23,female,0.67,0.5,0.64,NA,0.96,2,5,6,"Yes, use my data",,6,TRUE
413147342,21,Male,0.03,0.514,-0.19,-0.19,0,7,1,1,"Yes, use my data",,1,TRUE
424435398,22,Male,-0.22,0.639,-0.06,-0.09,0.1,3,7,2,"Yes, use my data",,3,TRUE
426804087,44,female,0.14,0.097,-0.06,-0.06,0,2,1,2,"Yes, use my data",,2,TRUE
427174423,41,Male,0.78,0.472,NA,NA,NA,7,1,7,"No, exclude my data (please specify why):",second part of the trial did not work,7,FALSE
