subject,prime_type,rating,influenced,self_exclusion_1,complete_data,prime_identity
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,1
3545965,prime_type_B,0,1,"Yes, use my data",TRUE,4
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,5
3545965,prime_type_A,0,1,"Yes, use my data",TRUE,10
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,12
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,11
3545965,prime_type_A,0,1,"Yes, use my data",TRUE,8
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,2
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,10
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,5
3545965,prime_type_A,0,1,"Yes, use my data",TRUE,11
3545965,prime_type_A,0,1,"Yes, use my data",TRUE,12
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,11
3545965,prime_type_A,0,1,"Yes, use my data",TRUE,5
3545965,prime_type_A,0,1,"Yes, use my data",TRUE,6
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,6
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,9
3545965,prime_type_A,0,1,"Yes, use my data",TRUE,3
3545965,prime_type_A,0,1,"Yes, use my data",TRUE,1
3545965,prime_type_A,0,1,"Yes, use my data",TRUE,7
3545965,prime_type_A,0,1,"Yes, use my data",TRUE,5
3545965,prime_type_A,0,1,"Yes, use my data",TRUE,11
3545965,prime_type_B,0,1,"Yes, use my data",TRUE,4
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,7
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,2
3545965,prime_type_A,0,1,"Yes, use my data",TRUE,8
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,8
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,3
3545965,prime_type_A,0,1,"Yes, use my data",TRUE,9
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,12
3545965,prime_type_A,0,1,"Yes, use my data",TRUE,12
3545965,prime_type_B,1,1,"Yes, use my data",TRUE,1
