subject,influence_rate,int_false_prime,int_true_prime,int_amp_effect,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,std_false_prime,std_true_prime,std_amp_effect,unint_false_prime,unint_true_prime,unint_amp_effect,age,gender
3545965,0.5,0,0.8888888888888888,0.8888888888888888,6,6,4,"Yes, use my data",,6,0.2222222222222222,0.9166666666666666,0.6944444444444444,NA,NA,NA,63,female
11515328,-0.4722222222222222,0.5833333333333334,0.6111111111111112,0.02777777777777779,7,2,1,"Yes, use my data",,2,0.6388888888888888,0.75,0.11111111111111116,0.5833333333333334,0.5882352941176471,0.004901960784313708,33,Male
21664305,-0.16666666666666666,0.4166666666666667,0.8055555555555556,0.3888888888888889,7,3,1,"Yes, use my data",,5,0.6944444444444444,0.7222222222222222,0.02777777777777779,0.7142857142857143,0.8888888888888888,0.17460317460317454,35,female
27172297,0.4861111111111111,0.16666666666666666,0.75,0.5833333333333334,7,6,6,"Yes, use my data",,6,0.1111111111111111,0.8055555555555556,0.6944444444444444,0,NA,NA,51,MALE
36970580,0.1111111111111111,0.25,0.6666666666666666,0.41666666666666663,7,4,3,"Yes, use my data",,3,0.3055555555555556,0.6944444444444444,0.38888888888888884,0.4375,0.6666666666666666,0.22916666666666663,52,female
41432451,0.09722222222222222,0.25,0.5833333333333334,0.33333333333333337,4,5,2,"Yes, use my data",,5,0.05555555555555555,0.9444444444444444,0.8888888888888888,0.6666666666666666,0.23529411764705882,-0.4313725490196078,35,Male
69320430,0,0.5555555555555556,0.9444444444444444,0.38888888888888884,7,4,1,"Yes, use my data",,5,0.5,0.5277777777777778,0.02777777777777779,0.9047619047619048,0.8666666666666667,-0.03809523809523807,23,Female
83854743,0.4861111111111111,0.3611111111111111,0.8611111111111112,0.5,6,7,5,"Yes, use my data",,7,0.25,0.8333333333333334,0.5833333333333334,1,NA,NA,18,female
96935104,-0.08333333333333333,0.027777777777777776,0.8888888888888888,0.861111111111111,7,4,3,"Yes, use my data",,3,0.25,0.6944444444444444,0.4444444444444444,0.05263157894736842,0.9130434782608695,0.860411899313501,21,Male
97904951,0.4861111111111111,0.2222222222222222,0.7222222222222222,0.5,7,6,4,"Yes, use my data",,4,0.75,0.6388888888888888,-0.11111111111111116,1,NA,NA,20,Male
131526138,0.5,0,0.6666666666666666,0.6666666666666666,7,7,7,"Yes, use my data",,1,0,0.6388888888888888,0.6388888888888888,NA,NA,NA,45,female
136022943,0.2222222222222222,0.1111111111111111,0.8611111111111112,0.75,7,6,4,"Yes, use my data",,5,0.16666666666666666,0.5833333333333334,0.41666666666666674,0.3333333333333333,0.5454545454545454,0.2121212121212121,63,female
139843245,-0.5,0.6388888888888888,0.8888888888888888,0.25,7,2,1,"Yes, use my data",,2,0.5555555555555556,0.75,0.19444444444444442,0.6388888888888888,0.8888888888888888,0.25,31,female
142189929,-0.3611111111111111,0.3055555555555556,0.25,-0.05555555555555558,7,3,2,"Yes, use my data",,2,0.4166666666666667,0.3055555555555556,-0.1111111111111111,0.3548387096774194,0.22580645161290322,-0.12903225806451615,27,female
152762024,-0.375,0.5833333333333334,0.75,0.16666666666666663,7,2,1,"Yes, use my data",,2,0.75,0.7222222222222222,-0.02777777777777779,0.7,0.7272727272727273,0.027272727272727337,29,F
167375011,-0.5,1,1,0,7,1,1,"Yes, use my data",,2,0.75,0.8333333333333334,0.08333333333333337,1,1,0,42,female
168637346,-0.4861111111111111,0.8611111111111112,0.2222222222222222,-0.638888888888889,6,2,2,"Yes, use my data",,3,0.5555555555555556,0.5555555555555556,0,0.8611111111111112,0.22857142857142856,-0.6325396825396826,25,male
179416344,-0.25,0.6944444444444444,0.9166666666666666,0.2222222222222222,7,3,3,"Yes, use my data",,5,0.7222222222222222,0.8611111111111112,0.13888888888888895,0.96,0.896551724137931,-0.06344827586206891,18,male
180201925,-0.5,0.75,0.7777777777777778,0.02777777777777779,7,1,1,"Yes, use my data",,2,0.5555555555555556,0.5833333333333334,0.02777777777777779,0.75,0.7777777777777778,0.02777777777777779,45,female
181289079,-0.4583333333333333,0.6111111111111112,0.5833333333333334,-0.02777777777777779,7,2,2,"Yes, use my data",,1,0.6388888888888888,0.5555555555555556,-0.08333333333333326,0.6470588235294118,0.5714285714285714,-0.0756302521008404,60,female
184299191,-0.4722222222222222,0.3055555555555556,0.4722222222222222,0.16666666666666663,7,3,1,"Yes, use my data",,2,0.3888888888888889,0.5,0.1111111111111111,0.3235294117647059,0.4722222222222222,0.1486928104575163,26,male
187488134,0.09722222222222222,0.19444444444444445,0.5833333333333334,0.38888888888888895,7,5,2,"Yes, use my data",,5,0.2777777777777778,0.3888888888888889,0.1111111111111111,0.38461538461538464,0.5625,0.17788461538461536,29,male
199910059,-0.2638888888888889,0.4444444444444444,0.6944444444444444,0.25,7,2,2,"Yes, use my data",,2,0.5833333333333334,0.4444444444444444,-0.13888888888888895,0.5925925925925926,0.6428571428571429,0.050264550264550345,32,Female
220026072,0.4027777777777778,0.2222222222222222,0.8611111111111112,0.638888888888889,7,6,4,"Yes, use my data",,5,0.2222222222222222,0.5555555555555556,0.33333333333333337,0.5,0.6,0.09999999999999998,19,female
229097424,0.5,0.16666666666666666,1,0.8333333333333334,7,6,6,"Yes, use my data",,6,0.19444444444444445,0.7777777777777778,0.5833333333333334,NA,NA,NA,31,Female
230717514,-0.013888888888888888,0.8888888888888888,0.8611111111111112,-0.02777777777777768,6,7,7,"Yes, use my data",,7,0.9722222222222222,1,0.02777777777777779,0.9047619047619048,0.75,-0.15476190476190477,30,male
232955159,0.2777777777777778,0.3611111111111111,0.3611111111111111,0,7,5,5,"Yes, use my data",,5,0.4722222222222222,0.3888888888888889,-0.08333333333333331,0.2222222222222222,0.2857142857142857,0.06349206349206349,18,male
239069947,0.5,0,0.75,0.75,7,7,7,"Yes, use my data",,7,0.4166666666666667,0.8611111111111112,0.4444444444444445,NA,NA,NA,47,female
239892503,0.5,0.027777777777777776,0.8888888888888888,0.861111111111111,7,7,7,"Yes, use my data",,7,0,0.6944444444444444,0.6944444444444444,NA,NA,NA,22,Female
263831835,-0.2916666666666667,0.1111111111111111,0.6388888888888888,0.5277777777777777,6,2,1,"No, exclude my data (please specify why):",Your program was almost impossible to use so my responses will not be completely accurate.  The image was flicking very quickly from photo to Chinese symbol and then to a kind of white noise screen.  In some cases I didn't even see the symbol or the picture because it went through all three in milliseconds.,2,0.16666666666666666,0.6388888888888888,0.4722222222222222,0.14285714285714285,0.5517241379310345,0.4088669950738916,43,Female
273905501,0.3888888888888889,0.2222222222222222,0.9166666666666666,0.6944444444444444,7,6,5,"Yes, use my data",,6,0.6666666666666666,0.75,0.08333333333333337,0.8,0.3333333333333333,-0.46666666666666673,33,Male
278848772,-0.2777777777777778,0.5,0.4166666666666667,-0.08333333333333331,4,3,2,"Yes, use my data",,3,0.08333333333333333,1,0.9166666666666666,0.6666666666666666,0.3103448275862069,-0.3563218390804597,23,Male
290998509,0.125,0.4166666666666667,0.8888888888888888,0.47222222222222215,7,4,2,"Yes, use my data",,4,0.7222222222222222,0.5555555555555556,-0.16666666666666663,0.75,0.7333333333333333,-0.01666666666666672,26,Male
292953014,-0.4861111111111111,0.8611111111111112,0.6944444444444444,-0.16666666666666674,6,2,1,"Yes, use my data",,3,0.6666666666666666,0.6944444444444444,0.02777777777777779,0.8857142857142857,0.6944444444444444,-0.19126984126984126,31,Female
302702628,0.06944444444444445,0.4444444444444444,0.8333333333333334,0.38888888888888895,4,4,2,"Yes, use my data",,4,0.5,0.6944444444444444,0.19444444444444442,0.6111111111111112,0.6153846153846154,0.004273504273504258,42,Female
303658948,0.2638888888888889,0.3055555555555556,0.5277777777777778,0.2222222222222222,3,6,4,"Yes, use my data",,2,0.16666666666666666,0.3055555555555556,0.13888888888888892,0.125,0.1111111111111111,-0.013888888888888895,29,female
305914201,-0.375,0.16666666666666666,0.3333333333333333,0.16666666666666666,7,2,1,"Yes, use my data",,3,0.3055555555555556,0.4166666666666667,0.1111111111111111,0.15625,0.22580645161290322,0.06955645161290322,32,female
308751542,-0.5,0.08333333333333333,0.9444444444444444,0.861111111111111,7,1,1,"No, exclude my data (please specify why):","It was so pointless, the images flicked up for a millisecond, the Chinese character was shown for a flicker of a second, and virtually impossible to react to.",1,0.1388888888888889,0.9722222222222222,0.8333333333333333,0.08333333333333333,0.9444444444444444,0.861111111111111,37,Male
319433172,-0.027777777777777776,0.3333333333333333,0.9444444444444444,0.6111111111111112,4,4,6,"Yes, use my data",,3,0.75,0.9444444444444444,0.19444444444444442,0.75,0.9615384615384616,0.21153846153846156,46,female
323856783,-0.013888888888888888,0.19444444444444445,0.5277777777777778,0.33333333333333337,7,5,3,"Yes, use my data",,3,0.4166666666666667,0.4444444444444444,0.027777777777777735,0.4117647058823529,0.25,-0.16176470588235292,27,male
328485968,-0.027777777777777776,0.4166666666666667,0.5555555555555556,0.1388888888888889,7,3,2,"Yes, use my data",,2,0.5833333333333334,0.4722222222222222,-0.11111111111111116,0.6666666666666666,0.23529411764705882,-0.4313725490196078,21,male
331448779,0.4444444444444444,1,1,0,7,2,2,"Yes, use my data",,2,0.6111111111111112,0.3888888888888889,-0.22222222222222227,1,1,0,22,female
337066657,-0.5,0.3888888888888889,0.4166666666666667,0.02777777777777779,7,1,1,"Yes, use my data",,1,0.3888888888888889,0.25,-0.1388888888888889,0.3888888888888889,0.4166666666666667,0.02777777777777779,35,Female
344033800,0.05555555555555555,0.1111111111111111,0.5833333333333334,0.47222222222222227,7,4,2,"Yes, use my data",,4,0.4166666666666667,0.5555555555555556,0.1388888888888889,0.3333333333333333,0.25,-0.08333333333333331,38,Male
344603030,-0.5,0.3055555555555556,0.2777777777777778,-0.02777777777777779,7,1,1,"Yes, use my data",,2,0.4722222222222222,0.5555555555555556,0.08333333333333337,0.3055555555555556,0.2777777777777778,-0.02777777777777779,20,Male
347479845,0.3472222222222222,0.9166666666666666,0.7777777777777778,-0.13888888888888884,7,5,3,"Yes, use my data",,3,0.3888888888888889,1,0.6111111111111112,1,1,0,32,Male
350301937,-0.5,0.08333333333333333,0.6388888888888888,0.5555555555555555,4,1,1,"Yes, use my data",,1,0.08333333333333333,0.6666666666666666,0.5833333333333333,0.08333333333333333,0.6388888888888888,0.5555555555555555,21,female
353533557,-0.5,0.9444444444444444,0.75,-0.19444444444444442,7,1,1,"Yes, use my data",,1,0.9166666666666666,0.8611111111111112,-0.05555555555555547,0.9444444444444444,0.75,-0.19444444444444442,44,Female
354547274,0.125,0.16666666666666666,0.9444444444444444,0.7777777777777778,7,7,5,"Yes, use my data",,6,0.08333333333333333,0.9166666666666666,0.8333333333333333,0.42857142857142855,0.8461538461538461,0.4175824175824176,32,FEMALE
355139417,0.4027777777777778,0.19444444444444445,0.9722222222222222,0.7777777777777778,7,6,6,"Yes, use my data",,7,0.3333333333333333,0.75,0.4166666666666667,0.2,0.5,0.3,48,female
