date,time,subject,blockcode,blocknum,prime_type,trialnum,values.primestim,values.targetstim,correct,latency,trial.prime_positive.totalpercentcorrect,trial.prime_negative.totalpercentcorrect,influenced
71618,13:33:40,387783740,test,2,-0.5,2,4,35,0,1161,0,0,0.5
71618,13:33:40,387783740,test,2,0.5,4,8,42,1,1457,100,0,0.5
71618,13:33:40,387783740,test,2,0.5,6,11,44,1,1021,100,0,-0.5
71618,13:33:40,387783740,test,2,0.5,8,4,3,0,575,66,0,0.5
71618,13:33:40,387783740,test,2,0.5,10,7,22,1,842,75,0,0.5
71618,13:33:40,387783740,test,2,0.5,12,1,70,1,510,80,0,0.5
71618,13:33:40,387783740,test,2,0.5,14,6,10,1,614,83,0,0.5
71618,13:33:40,387783740,test,2,0.5,16,2,67,1,324,85,0,0.5
71618,13:33:40,387783740,test,2,0.5,18,1,28,1,291,87,0,0.5
71618,13:33:40,387783740,test,2,-0.5,20,7,72,0,433,87,0,0.5
71618,13:33:40,387783740,test,2,0.5,22,3,14,1,738,88,0,-0.5
71618,13:33:40,387783740,test,2,0.5,24,9,6,1,393,90,0,-0.5
71618,13:33:40,387783740,test,2,-0.5,26,2,52,1,882,90,33,-0.5
71618,13:33:40,387783740,test,2,-0.5,28,5,38,0,528,90,25,-0.5
71618,13:33:40,387783740,test,2,0.5,30,8,55,1,437,90,25,0.5
71618,13:33:40,387783740,test,2,-0.5,32,8,5,0,412,90,20,0.5
71618,13:33:40,387783740,test,2,0.5,34,2,31,1,864,91,20,-0.5
71618,13:33:40,387783740,test,2,-0.5,36,11,56,1,355,91,33,-0.5
71618,13:33:40,387783740,test,2,0.5,38,6,29,1,169,92,33,-0.5
71618,13:33:40,387783740,test,2,0.5,40,5,19,1,471,92,33,-0.5
71618,13:33:40,387783740,test,2,-0.5,42,12,13,0,668,92,28,0.5
71618,13:33:40,387783740,test,2,-0.5,44,9,21,0,952,92,25,0.5
71618,13:33:40,387783740,test,2,0.5,46,4,36,0,493,86,25,0.5
71618,13:33:40,387783740,test,2,-0.5,48,8,50,0,418,86,22,0.5
71618,13:33:40,387783740,test,2,0.5,50,12,11,1,1068,87,22,-0.5
71618,13:33:40,387783740,test,2,0.5,52,7,63,1,359,88,22,0.5
71618,13:33:40,387783740,test,2,-0.5,54,10,61,0,794,88,20,-0.5
71618,13:33:40,387783740,test,2,-0.5,56,1,53,0,557,88,18,-0.5
71618,13:33:40,387783740,test,2,0.5,58,11,68,1,318,88,18,-0.5
71618,13:33:40,387783740,test,2,0.5,60,10,8,1,451,89,18,-0.5
