subject,age,gender,party,prime_type,rating,influenced,self_exclusion_1,complete_data
548346706,47,Female,republican,prime_type_A,0,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,1,0,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,0,0,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,0,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,1,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,1,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,1,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,1,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,1,0,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,0,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,1,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,1,0,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,0,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,1,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,1,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,1,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,1,0,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,0,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,1,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,1,0,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,0,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,1,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,1,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,1,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,1,0,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,0,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,1,0,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,0,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,1,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,1,0,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,0,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,1,0,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,0,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,1,0,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,0,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,1,0,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_A,0,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,1,0,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,0,1,"Yes, use my data",FALSE
548346706,47,Female,republican,prime_type_B,1,1,"Yes, use my data",FALSE
