date,time,subject,blockcode,blocknum,prime_type,trialnum,values.primestim,values.targetstim,correct,latency,trial.prime_positive.totalpercentcorrect,trial.prime_negative.totalpercentcorrect,party,influenced
80918,11:52:48,347524095,test,2,1,2,6,22,1,937,100,0,1,0
80918,11:52:48,347524095,test,2,1,4,10,62,1,675,100,0,1,0
80918,11:52:48,347524095,test,2,1,6,4,53,0,1043,66,0,1,0
80918,11:52:48,347524095,test,2,1,8,9,47,1,920,75,0,1,0
80918,11:52:48,347524095,test,2,0,10,4,29,0,1132,75,0,1,1
80918,11:52:48,347524095,test,2,1,12,3,66,1,800,80,0,1,1
80918,11:52:48,347524095,test,2,0,14,1,52,0,1426,80,0,1,0
80918,11:52:48,347524095,test,2,1,16,5,35,1,1081,83,0,1,0
80918,11:52:48,347524095,test,2,0,18,12,4,1,1232,83,33,1,0
80918,11:52:48,347524095,test,2,1,20,1,68,1,1239,85,33,1,1
80918,11:52:48,347524095,test,2,1,22,4,31,0,822,75,33,1,0
80918,11:52:48,347524095,test,2,1,24,10,56,0,2670,66,33,1,0
80918,11:52:48,347524095,test,2,1,26,2,23,0,1364,60,33,1,0
80918,11:52:48,347524095,test,2,0,28,6,45,1,919,60,50,1,0
80918,11:52:48,347524095,test,2,1,30,8,44,0,883,54,50,1,1
80918,11:52:48,347524095,test,2,0,32,2,55,0,1657,54,40,1,0
80918,11:52:48,347524095,test,2,0,34,8,60,0,872,54,33,1,1
80918,11:52:48,347524095,test,2,0,36,9,30,0,2445,54,28,1,0
80918,11:52:48,347524095,test,2,1,38,1,3,1,893,58,28,1,1
80918,11:52:48,347524095,test,2,0,40,9,26,0,739,58,25,1,0
80918,11:52:48,347524095,test,2,0,42,4,61,0,894,58,22,1,0
80918,11:52:48,347524095,test,2,0,44,3,43,0,804,58,20,1,1
80918,11:52:48,347524095,test,2,1,46,12,50,1,3126,61,20,1,0
80918,11:52:48,347524095,test,2,0,48,6,69,0,905,61,18,1,0
80918,11:52:48,347524095,test,2,1,50,7,33,1,998,64,18,1,0
80918,11:52:48,347524095,test,2,0,52,1,40,0,751,64,16,1,1
80918,11:52:48,347524095,test,2,0,54,11,15,1,890,64,23,1,0
80918,11:52:48,347524095,test,2,1,56,6,20,1,1376,66,23,1,0
80918,11:52:48,347524095,test,2,1,58,5,37,1,1770,68,23,1,0
80918,11:52:48,347524095,test,2,1,60,9,12,0,1180,64,23,1,0
80918,11:52:48,347524095,test,2,0,62,12,6,1,878,64,28,1,0
80918,11:52:48,347524095,test,2,0,64,8,36,0,684,64,26,1,0
80918,11:52:48,347524095,test,2,1,66,3,41,1,1049,66,26,1,1
80918,11:52:48,347524095,test,2,0,68,2,27,0,1201,66,25,1,1
80918,11:52:48,347524095,test,2,1,70,11,18,1,1074,68,25,1,0
80918,11:52:48,347524095,test,2,0,72,5,70,0,1920,68,23,1,0
80918,11:52:48,347524095,test,2,0,74,7,38,1,1332,68,27,1,0
80918,11:52:48,347524095,test,2,0,76,10,64,1,1423,68,31,1,0
80918,11:52:48,347524095,test,2,1,78,1,13,1,647,70,31,1,1
80918,11:52:48,347524095,test,2,0,80,4,2,1,1167,70,35,1,0
80918,11:52:48,347524095,test,2,1,82,4,32,1,905,71,35,1,0
