"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency"
"031220","10:50:29","674273113","323764856","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","test","1","1916"
"031220","10:50:29","674273113","323764856","5.0.14.0","1","2","demographics","age","0","0","0","0","test","1","1880"
"031220","10:50:29","674273113","323764856","5.0.14.0","1","3","demographics","gender","0","0","0","0","test","1","1562"
"031220","20:40:36","397019712","211285344","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d4379a3397a63001cf3c2e1","1","16973"
"031220","20:40:36","397019712","211285344","5.0.14.0","1","2","demographics","age","0","0","0","0","21","1","3997"
"031220","20:40:36","397019712","211285344","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","6217"
"031220","05:56:51","466998427","141306629","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5aa69293f6dfdd0001eb03ec","1","18000"
"031220","05:56:51","466998427","141306629","5.0.14.0","1","2","demographics","age","0","0","0","0","27","1","3923"
"031220","05:56:51","466998427","141306629","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","5396"
"031220","11:01:57","893264849","100780069","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5e2ca052a11f1b000bc89f2c","1","15384"
"031220","11:01:57","893264849","100780069","5.0.14.0","1","2","demographics","age","0","0","0","0","20","1","5393"
"031220","11:01:57","893264849","100780069","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","6335"
"031220","11:06:20","338848354","807543404","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d87bae4810e200001b","1","36610"
"031220","11:06:20","338848354","807543404","5.0.14.0","1","2","demographics","age","0","0","0","0","20","1","2530"
"031220","11:06:20","338848354","807543404","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","3659"
"031220","11:07:08","762006999","235732843","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5c50b567cc71f4000125c4f6","1","6418"
"031220","11:07:08","762006999","235732843","5.0.14.0","1","2","demographics","age","0","0","0","0","20","1","2948"
"031220","11:07:08","762006999","235732843","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","4047"
"031320","00:14:14","695712572","450679190","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5e5cfdd0c35be9000dc75572","1","12107"
"031320","00:14:14","695712572","450679190","5.0.14.0","1","2","demographics","age","0","0","0","0","20","1","3648"
"031320","00:14:14","695712572","450679190","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","3076"
"031220","11:16:40","783847703","939935663","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5e4e958858fb732cf37d17ec","1","13149"
"031220","11:16:40","783847703","939935663","5.0.14.0","1","2","demographics","age","0","0","0","0","22","1","4006"
"031220","11:16:40","783847703","939935663","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","4005"
"031320","00:16:54","933229974","27324586","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5c73b0a0f11dda0001ff62cb","1","8797"
"031320","00:16:54","933229974","27324586","5.0.14.0","1","2","demographics","age","0","0","0","0","23","1","9903"
"031320","00:16:54","933229974","27324586","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","11015"
"031220","21:16:06","653759725","307111597","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","86F464AB","1","150557"
"031220","21:16:06","653759725","307111597","5.0.14.0","1","2","demographics","age","0","0","0","0","63","1","9054"
"031220","21:16:06","653759725","307111597","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","8425"
"031220","11:20:57","4833775","566602761","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5cd6c64fe48507001a748169","1","9847"
"031220","11:20:57","4833775","566602761","5.0.14.0","1","2","demographics","age","0","0","0","0","16","1","5037"
"031220","11:20:57","4833775","566602761","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","5260"
"031220","11:21:37","77904369","919835473","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d06bdc512987c00016","1","41047"
"031220","11:21:37","77904369","919835473","5.0.14.0","1","2","demographics","age","0","0","0","0","29","1","6749"
"031220","11:21:37","77904369","919835473","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","2522"
"031220","11:23:01","584997702","798482002","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","","1","11227"
"031220","11:27:07","460324932","190700451","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5e564d373ef4a201e44e65c7","1","14736"
"031220","11:27:07","460324932","190700451","5.0.14.0","1","2","demographics","age","0","0","0","0","22","1","2217"
"031220","11:27:07","460324932","190700451","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","4383"
"031220","11:28:13","473540343","371852658","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5ce6c8f448eadf00197c3748","1","13990"
"031220","11:28:13","473540343","371852658","5.0.14.0","1","2","demographics","age","0","0","0","0","21","1","2612"
"031220","11:28:13","473540343","371852658","5.0.14.0","1","3","demographics","gender","0","0","0","0"," Female","1","8047"
"031220","11:29:57","236642377","359842980","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5e346dedaf532102529ce9da","1","5611"
"031220","11:29:57","236642377","359842980","5.0.14.0","1","2","demographics","age","0","0","0","0","18 ","1","7020"
"031220","11:29:57","236642377","359842980","5.0.14.0","1","3","demographics","gender","0","0","0","0","Female","1","6222"
"031220","06:34:23","722474745","851030038","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5e5723e3e870140db0bdf95e","1","6256"
"031220","06:34:23","722474745","851030038","5.0.14.0","1","2","demographics","age","0","0","0","0","41","1","7069"
"031220","06:34:23","722474745","851030038","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","12634"
"031220","11:36:02","298914255","962955820","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5e52e7ffd2273a000a838bef ","1","14648"
"031220","11:36:02","298914255","962955820","5.0.14.0","1","2","demographics","age","0","0","0","0","20","1","3868"
"031220","11:36:02","298914255","962955820","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","3508"
