"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"062320","13:03:20","462297499","352663511","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","3409","0"
"062320","13:04:47","86423817","279209342","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5e330b32b5cfc82d828e9830","1","16121","0"
"062320","13:04:47","86423817","279209342","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","22","1","3166","0"
"062320","13:04:47","86423817","279209342","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","2439","0"
"062320","21:36:46","260200656","743975716","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5eb3c0005275541b1a504189","1","18927","0"
"062320","21:36:46","260200656","743975716","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","37","1","3363","0"
"062320","21:36:46","260200656","743975716","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","5675","0"
"062320","22:08:01","545990631","111750778","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ec37a9325162c01e2c1d75a","1","119702","0"
"062320","22:08:01","545990631","111750778","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","24","1","2799","0"
"062320","22:08:01","545990631","111750778","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4037","0"
"062320","13:10:44","75233825","179048333","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5e50e67aa7e1b8112028a391","1","6087","0"
"062320","13:10:44","75233825","179048333","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","34","1","4817","0"
"062320","13:10:44","75233825","179048333","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","4558","0"
"062320","13:11:24","771184092","770223978","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5e836067eabed908a2033187","1","11413","0"
