subject,age,gender,AMP_effect_positive_negative,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,complete_data
35402626,29,female,0.06,0.33,0.25,0.15,6,4,2,"Yes, use my data",,4,TRUE
67087604,36,male,0,0.03,0,0.96,2,5,4,"Yes, use my data",,5,TRUE
70921114,24,Female,0.11,0.06,0.06,0,7,1,1,"Yes, use my data",,2,TRUE
74603181,21,Male,0.03,0.08,0.1,0.31,7,3,2,"No, exclude my data (please specify why):",I was distracted on the second task by somebody walking passed,3,TRUE
81490762,23,female,0.75,0.58,0.62,0.35,7,6,5,"Yes, use my data",,4,TRUE
94939907,51,female,0.72,0.86,0,0.97,7,7,7,"Yes, use my data",,1,TRUE
111786283,21,female,0,0.17,0.21,0.33,7,3,1,"Yes, use my data",,3,TRUE
145805121,25,Male,0.11,0.11,0.11,0.03,7,2,1,"Yes, use my data",,3,TRUE
146415179,41,Female,0.17,0.47,0.43,0.07,7,5,2,"Yes, use my data",,4,TRUE
151750430,20,female,0.39,0.31,0.1,0.44,7,5,3,"Yes, use my data",,6,TRUE
151802119,26,Male,0.11,0.22,0.08,0.56,7,4,4,"Yes, use my data",,2,TRUE
164805700,60,Female,0.17,0.64,0.44,0.71,7,6,5,"Yes, use my data",,3,TRUE
180674197,23,female,0.03,0.39,0.17,0.61,6,5,2,"Yes, use my data",,5,TRUE
208510603,22,female,0.06,0.03,0.42,0.35,7,4,2,"Yes, use my data",,5,TRUE
208847005,29,MALE,0.31,0.33,0.31,0.67,4,6,1,"Yes, use my data",,6,TRUE
217378735,31,female,0.81,0.64,0.67,0.65,2,2,3,"Yes, use my data",,2,TRUE
228057614,21,Male,0.83,0.78,0.5,0.96,6,7,5,"Yes, use my data",,7,TRUE
231683431,22,f,0.06,0.33,0.15,0.44,6,4,3,"Yes, use my data",,4,TRUE
240224944,21 ,Male,0.06,0.14,0.04,0.25,6,3,1,"Yes, use my data",,2,TRUE
243870969,27,Male,0.14,0.03,0.03,0.06,7,2,2,"Yes, use my data",,1,TRUE
250594697,23,Male,0.19,0.08,0.01,0.5,7,4,2,"Yes, use my data",,3,TRUE
255938164,55,female,0.25,0.72,0.35,0.57,7,5,3,"Yes, use my data",,6,TRUE
260796157,32,female,0.69,0.11,0.06,0.31,4,3,2,"Yes, use my data",,5,TRUE
265032689,37,male,0.22,0.19,0.16,0.28,7,3,1,"Yes, use my data",,2,TRUE
270225412,37,Female,0.36,0.08,0.07,0.11,7,3,1,"Yes, use my data",,4,TRUE
274836154,51,female,0.89,0.5,0.5,0.07,7,4,4,"Yes, use my data",,3,TRUE
281254961,41,Female,0.28,0.25,0.22,0.06,6,2,2,"Yes, use my data",,2,TRUE
