subject,age,gender,AMP_effect_positive_negative,mean_response_amp_posneg,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,complete_data
3787275,41,female,0.03,0.514,0.22,0.17,0.1,7,4,2,"Yes, use my data",,2,TRUE
5028058,59,Male,-0.81,0.569,-0.22,-0.5,0.81,6,6,3,"Yes, use my data",,5,TRUE
10742801,20,Female,0.03,0.653,-0.08,-0.11,0.22,7,4,4,"Yes, use my data",,3,TRUE
14857997,20,Male,0,0.5,0.31,0.12,0.35,7,3,1,"Yes, use my data",,2,TRUE
20040654,18,male,0.86,0.542,0.56,0.55,0.11,4,2,2,"Yes, use my data",,2,TRUE
20139443,42,Male,-0.83,0.472,0.53,0.53,0,6,6,5,"Yes, use my data",,5,TRUE
24231941,24,Male,0.28,0.611,0.06,0.04,0.25,5,3,4,"Yes, use my data",,3,TRUE
27324586,23,female,-0.17,0.528,0.19,0.19,0,7,1,3,"Yes, use my data",,2,TRUE
28848257,18,Male,0,0.639,0.08,0.15,0.15,4,3,1,"Yes, use my data",,3,TRUE
40339482,35,Female,0.11,0.75,0,0.01,0.11,7,2,2,"Yes, use my data",,2,TRUE
47231156,37,male,0.03,0.625,0.14,-0.02,0.25,6,2,3,"Yes, use my data",,2,TRUE
47249179,27,Male,0.78,0.444,0.25,0.25,0.83,5,6,6,"No, exclude my data (please specify why):",I found it very difficult to concentrate fully on the study due to the length and repetition. Answered the best that I could but not sure if I did miss anything important because of it.,6,TRUE
55070196,21,Female,0.5,0.639,0.31,-0.11,0.32,7,4,4,"Yes, use my data",,4,TRUE
67897032,18,Demi-Boy,0.03,0.542,0.19,0.11,0.29,7,3,1,"Yes, use my data",,4,TRUE
69882356,22,Female,-0.17,0.639,0.14,0.1,0.17,7,3,3,"Yes, use my data",,3,TRUE
79704024,19,Male,0.03,0.347,0.11,0.31,0.61,6,4,4,"No, exclude my data (please specify why):",Some of the characters rendered slightly blury which impacted my decision making.,3,TRUE
83326126,38,female,-0.03,0.653,0.44,-0.08,0.86,5,5,6,"Yes, use my data",,2,TRUE
87508304,29,female,0.22,0.722,0.25,0.25,0.25,7,5,4,"Yes, use my data",,5,TRUE
100780069,20,female,0.06,0.444,0.14,0.01,0.33,7,4,5,"Yes, use my data",,5,TRUE
110198938,40,M,0.81,0.514,0.81,NA,1,7,7,7,"Yes, use my data",,6,TRUE
110452783,19 ,female,0.69,0.347,0.61,NA,1,7,6,6,"Yes, use my data",,4,TRUE
111028156,18,Female,0.19,0.708,-0.08,-0.07,0.29,7,2,2,"Yes, use my data",,3,TRUE
121816647,56,male,-0.97,0.486,0.89,NA,0.99,7,7,6,"Yes, use my data",,6,TRUE
127170777,60,male,0,1,0,0,0,6,1,4,"Yes, use my data",,1,TRUE
141306629,27,Male,-0.22,0.639,-0.06,0.16,0.36,7,4,2,"Yes, use my data",,3,TRUE
144386175,47,male,-0.61,0.583,-0.25,-0.2,0.17,6,3,6,"Yes, use my data",,5,TRUE
144843164,22,Female,0,0.889,0.06,0.01,0.42,7,1,1,"Yes, use my data",,1,TRUE
145794944,41,male,0.61,0.556,0.61,0.27,0.47,6,4,4,"Yes, use my data",,2,TRUE
148535595,22,male,0.72,0.583,0.53,NA,1,7,6,7,"Yes, use my data",,7,TRUE
