subject,prime_type,rating,influenced,self_exclusion_1,complete_data,prime_identity
3787275,prime_type_A,0,1,"Yes, use my data",TRUE,7
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,9
3787275,prime_type_A,0,1,"Yes, use my data",TRUE,10
3787275,prime_type_A,1,0,"Yes, use my data",TRUE,5
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,6
3787275,prime_type_B,1,1,"Yes, use my data",TRUE,7
3787275,prime_type_A,0,1,"Yes, use my data",TRUE,3
3787275,prime_type_A,1,0,"Yes, use my data",TRUE,4
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,6
3787275,prime_type_B,0,0,"Yes, use my data",TRUE,10
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,4
3787275,prime_type_A,0,1,"Yes, use my data",TRUE,1
3787275,prime_type_B,0,0,"Yes, use my data",TRUE,2
3787275,prime_type_A,1,0,"Yes, use my data",TRUE,5
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,2
3787275,prime_type_A,1,0,"Yes, use my data",TRUE,12
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,10
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,3
3787275,prime_type_B,0,0,"Yes, use my data",TRUE,3
3787275,prime_type_B,0,0,"Yes, use my data",TRUE,9
3787275,prime_type_B,0,0,"Yes, use my data",TRUE,11
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,4
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,12
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,7
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,1
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,3
3787275,prime_type_A,1,0,"Yes, use my data",TRUE,7
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,8
3787275,prime_type_A,1,0,"Yes, use my data",TRUE,9
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,9
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,6
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,10
3787275,prime_type_B,0,0,"Yes, use my data",TRUE,5
3787275,prime_type_B,0,0,"Yes, use my data",TRUE,2
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,6
3787275,prime_type_A,1,0,"Yes, use my data",TRUE,11
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,4
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,8
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,9
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,7
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,2
3787275,prime_type_B,0,0,"Yes, use my data",TRUE,5
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,7
3787275,prime_type_A,1,0,"Yes, use my data",TRUE,12
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,3
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,5
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,11
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,6
3787275,prime_type_A,1,0,"Yes, use my data",TRUE,4
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,4
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,12
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,10
3787275,prime_type_A,1,0,"Yes, use my data",TRUE,6
3787275,prime_type_A,1,0,"Yes, use my data",TRUE,2
3787275,prime_type_A,1,0,"Yes, use my data",TRUE,8
3787275,prime_type_B,0,0,"Yes, use my data",TRUE,8
3787275,prime_type_B,0,0,"Yes, use my data",TRUE,11
3787275,prime_type_A,1,0,"Yes, use my data",TRUE,9
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,1
3787275,prime_type_B,0,0,"Yes, use my data",TRUE,1
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,10
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,10
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,3
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,1
3787275,prime_type_B,0,0,"Yes, use my data",TRUE,5
3787275,prime_type_B,0,0,"Yes, use my data",TRUE,2
3787275,prime_type_A,1,1,"Yes, use my data",TRUE,8
3787275,prime_type_B,1,1,"Yes, use my data",TRUE,1
3787275,prime_type_A,0,0,"Yes, use my data",TRUE,7
3787275,prime_type_A,1,0,"Yes, use my data",TRUE,11
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,7
3787275,prime_type_B,1,0,"Yes, use my data",TRUE,4
5028058,prime_type_B,1,1,"Yes, use my data",TRUE,10
5028058,prime_type_B,1,0,"Yes, use my data",TRUE,2
5028058,prime_type_A,1,1,"Yes, use my data",TRUE,3
5028058,prime_type_B,0,0,"Yes, use my data",TRUE,12
5028058,prime_type_B,1,0,"Yes, use my data",TRUE,4
5028058,prime_type_B,1,1,"Yes, use my data",TRUE,5
5028058,prime_type_B,1,1,"Yes, use my data",TRUE,11
5028058,prime_type_B,0,0,"Yes, use my data",TRUE,9
5028058,prime_type_B,1,1,"Yes, use my data",TRUE,3
5028058,prime_type_B,0,0,"Yes, use my data",TRUE,12
5028058,prime_type_B,1,1,"Yes, use my data",TRUE,2
5028058,prime_type_B,1,1,"Yes, use my data",TRUE,7
