"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency"
"103019","12:47:25","166199798","259912120","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d960994b82ce10017fc14e9","1","14143"
"103019","12:47:25","166199798","259912120","5.0.14.0","1","2","demographics","age","0","0","0","0","33","1","4422"
"103019","12:47:25","166199798","259912120","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","3506"
"103019","12:47:14","189664396","283376717","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","","1","68067"
"103019","12:48:36","189664396","283376717","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5db2e894c32241000af05045","1","3328"
"103019","12:48:36","189664396","283376717","5.0.14.0","1","2","demographics","age","0","0","0","0","34","1","2863"
"103019","12:48:36","189664396","283376717","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","3371"
"103019","12:47:06","803809330","49868505","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d6dfeb99020b1001fcad4c1","1","113411"
"103019","12:47:06","803809330","49868505","5.0.14.0","1","2","demographics","age","0","0","0","0","23","1","2426"
"103019","12:47:06","803809330","49868505","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","3357"
"103019","08:48:30","646335545","208624648","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5c66ffc6ad596e000179f721","1","21007"
"103019","08:48:30","646335545","208624648","5.0.14.0","1","2","demographics","age","0","0","0","0","54","1","3295"
"103019","08:48:30","646335545","208624648","5.0.14.0","1","3","demographics","gender","0","0","0","0","male","1","5225"
"103019","06:49:47","970903950","582243464","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5d61c0b6cd19cf0001312417","1","6879"
"103019","06:49:47","970903950","582243464","5.0.14.0","1","2","demographics","age","0","0","0","0","35","1","2154"
"103019","06:49:47","970903950","582243464","5.0.14.0","1","3","demographics","gender","0","0","0","0","Male","1","3454"
"103019","12:49:42","572821622","934359111","5.0.14.0","1","1","demographics","ProlificCode","0","0","0","0","5db15c4bef9f770012fc8805","1","6680"
"103019","12:49:42","572821622","934359111","5.0.14.0","1","2","demographics","age","0","0","0","0","33","1","4474"
"103019","12:49:42","572821622","934359111","5.0.14.0","1","3","demographics","gender","0","0","0","0","female","1","6420"
