"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"071218","16:23:54","984318860","235085710","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","3816","0"
"071218","16:23:18","386358373","413775828","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","","1","33654","0"
"071218","11:25:21","182135475","904270315","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ad49bdfec723b0001f50ebe","1","7184","0"
"071218","11:25:21","182135475","904270315","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","37","1","3158","0"
"071218","11:25:21","182135475","904270315","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","5414","0"
"071218","11:24:56","429997601","483328186","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","55c22710fdf99b3896f71080","1","16391","0"
"071218","11:24:56","429997601","483328186","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","40","1","3700","0"
"071218","11:24:56","429997601","483328186","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3431","0"
"071218","11:25:42","63669529","964951392","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b05c01800af700001595d77","1","5556","0"
"071218","11:25:42","63669529","964951392","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","23","1","2274","0"
"071218","11:25:42","63669529","964951392","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","3409","0"
"071218","11:54:12","988879703","168644019","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5a65f13013898300014b5651","1","3198","0"
"071218","11:54:12","988879703","168644019","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","22","1","2882","0"
"071218","11:54:12","988879703","168644019","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","2892","0"
"071218","11:27:14","182135475","904270315","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ad49bdfec723b0001f50ebe","1","2560","0"
"071218","11:27:14","182135475","904270315","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","37","1","2720","0"
"071218","11:27:14","182135475","904270315","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","4200","0"
"071218","11:27:27","429997601","483328186","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","55c22710fdf99b3896f71080","1","3335","0"
"071218","11:27:27","429997601","483328186","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","40","1","4057","0"
"071218","11:27:27","429997601","483328186","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","1708","0"
"071218","11:27:11","54877366","538746433","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b0a38d230d5620001551e0d","1","5369","0"
"071218","11:27:11","54877366","538746433","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","25","1","5762","0"
"071218","11:27:11","54877366","538746433","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4132","0"
"071218","11:56:22","988879703","168644019","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0"," 5a65f13013898300014b5651 ","1","2850","0"
"071218","11:56:22","988879703","168644019","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","49","1","3906","0"
"071218","11:56:22","988879703","168644019","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","1869","0"
"071218","11:27:45","687293507","640973929","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5a9de95c873cda00010d192c","1","60328","0"
"071218","11:27:45","687293507","640973929","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","21","1","3352","0"
"071218","11:27:45","687293507","640973929","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","F","1","3060","0"
"071218","10:28:31","983755299","467624381","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b134b6abd9c31000156d4ff","1","28584","0"
"071218","10:28:31","983755299","467624381","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","26","1","4320","0"
"071218","10:28:31","983755299","467624381","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","5759","0"
"071218","16:28:49","923909836","282821167","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","582b666168d3ce000159cae3","1","6936","0"
"071218","16:28:49","923909836","282821167","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","48","1","3409","0"
"071218","16:28:49","923909836","282821167","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","4775","0"
"071218","10:30:23","902456789","492324762","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5986181277201f0001f13c7d","1","5397","0"
"071218","10:30:23","902456789","492324762","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","53","1","9836","0"
"071218","10:30:23","902456789","492324762","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","6647","0"
"071218","10:33:09","983755299","467624381","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b134b6abd9c31000156d4ff","1","5115","0"
"071218","10:33:09","983755299","467624381","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","26","1","3284","0"
"071218","10:33:09","983755299","467624381","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","3263","0"
"071218","11:34:28","290971467","91716124","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","57d6b1718e00270001b430cc","1","21211","0"
"071218","11:34:28","290971467","91716124","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","34","1","2385","0"
"071218","11:34:28","290971467","91716124","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4047","0"
