subject,age,gender,AMP_effect_positive_negative,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,complete_data
1630295,34,FEMALE,0.56,0.58,1,0.96,5,5,6,"Yes, use my data",,5,TRUE
1841020,21,Female,0.44,0.25,0.13,0.17,7,3,2,"Yes, use my data",,2,TRUE
3455531,41,Female,0.92,0.75,0.77,0.56,7,7,5,"Yes, use my data",,3,TRUE
3983155,23,Male,0.56,0.81,0.48,0.76,7,6,4,"Yes, use my data",,3,TRUE
6080319,20,Male,0.08,-0.03,-0.11,0.43,7,3,2,"Yes, use my data",,1,TRUE
25737401,34 ,female,-0.06,0.11,0.11,0.04,7,2,2,"Yes, use my data",,2,TRUE
26378635,20,female,0.06,-0.06,-0.2,0.17,6,3,3,"Yes, use my data",,3,TRUE
31170097,35,female,0.39,0.22,0.2,0.03,7,2,1,"Yes, use my data",,2,TRUE
32435442,22,M,-0.19,0.06,-0.17,0.44,6,5,3,"Yes, use my data",,4,TRUE
33872229,28 ,male,0.11,0.42,0.17,0.29,7,3,2,"Yes, use my data",,2,TRUE
33934685,30,Male,-0.14,-0.31,-0.5,0.9,7,5,3,"Yes, use my data",,3,TRUE
40414465,27,female,-0.89,-0.97,-0.5,0.47,5,5,1,"Yes, use my data",,1,TRUE
44174345,26,Female,0.14,0.06,-0.05,0.54,5,5,6,"Yes, use my data",,2,TRUE
48944973,32,male,-0.03,0,0,0,7,1,1,"Yes, use my data",,2,TRUE
54181250,23,Female,0.89,0.53,0.39,0.25,1,2,1,"Yes, use my data",,3,TRUE
58666523,19,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
59842540,38,female,0.75,0.72,NA,0.97,7,7,7,"Yes, use my data",,7,TRUE
64887535,30,Female,0.19,0.03,0.03,0,7,7,1,"Yes, use my data",,1,TRUE
91611240,34,Female,0,0,0,0,7,1,1,"Yes, use my data",,1,TRUE
101733908,27,Male,-0.08,-0.31,0,0.96,7,6,6,"Yes, use my data",,7,TRUE
104921735,50,Female,-0.03,-0.17,-0.17,0,7,1,1,"Yes, use my data",,2,TRUE
108998539,59,female,0.08,-0.19,-0.19,0,7,1,1,"Yes, use my data",,2,TRUE
125640820,18,F,0.78,0.69,0.75,0.9,5,6,3,"Yes, use my data",,5,TRUE
132548792,39,female,0.67,0.75,0.75,0,NA,NA,NA,NA,NA,NA,FALSE
142604711,32,Female,0.06,-0.03,-0.03,0,7,1,1,"Yes, use my data",,1,TRUE
157172179,52,male,-0.61,-0.72,-0.72,0,6,1,1,"Yes, use my data",,1,TRUE
161771481,30,male,-0.47,0.39,0.04,0.22,6,3,2,"Yes, use my data",,4,TRUE
163889718,36,Female,-0.42,-0.36,-0.02,0.47,7,5,5,"Yes, use my data",,4,TRUE
168393599,47,Male,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
172756511,35,Male,-0.75,-0.14,-0.1,0.14,7,4,7,"Yes, use my data",,4,TRUE
176427757,19,female,0.78,0.22,0.29,0.81,5,4,4,"Yes, use my data",,5,TRUE
177856627,23,male,0.11,0.25,0.04,0.32,7,2,2,"Yes, use my data",,2,TRUE
180926818,31,female,-0.36,-0.81,0,0.97,7,7,6,"Yes, use my data",,1,TRUE
181985090,45,male,0.33,0.5,0,0.86,6,6,6,"Yes, use my data",,6,TRUE
187010750,44,female,0.53,0.56,0.46,0.57,6,4,1,"Yes, use my data",,5,TRUE
190841178,52,female,0,0,0,0,7,1,1,"Yes, use my data",,1,TRUE
204268642,22,Female,0.08,-0.03,-0.06,0.11,7,2,1,"No, exclude my data (please specify why):","There weren't any distractions and I focused purely on the task, but I do have a weird feeling about shapes. There are some shapes which I like, and others which I don't and I tend to feel rather strongly about that. Having said that though, I don't know if this is how people normally feel about shapes so I may not really stand out. I think I could still have subconciously been influenced by the pictures, but I know that there were some shapes which I was going to respond to regardless of whether it was a positive or negative image in front of it.",2,TRUE
226981072,28,Male,-0.64,0.14,0.17,0.83,6,5,4,"Yes, use my data",,3,TRUE
231035127,50,female,-0.33,-0.25,-0.09,0.21,7,4,5,"Yes, use my data",,2,TRUE
231513913,18,Male,-0.31,0.17,0.22,0.43,7,4,2,"Yes, use my data",,2,TRUE
233265412,23,Male,-0.14,0.47,NA,1,4,2,1,"Yes, use my data",,2,TRUE
237392409,28,Male,0.19,0.58,0.13,0.35,7,4,2,"Yes, use my data",,5,TRUE
241082593,28,Female,0.89,0.92,0.67,0.74,4,5,7,"Yes, use my data",,3,TRUE
244105383,41,female,0.11,-0.14,-0.14,0,7,2,1,"Yes, use my data",,3,TRUE
247890705,34,female,0.11,0.33,0.31,0.03,7,2,1,"Yes, use my data",,2,TRUE
256587365,39,female,-0.14,0.11,0.11,0,7,1,1,"Yes, use my data",,2,TRUE
256654209,35,female,0.86,0.83,NA,0.99,NA,NA,NA,NA,NA,NA,FALSE
256965497,32,Female,0.03,-0.11,-0.13,0.01,7,1,1,"Yes, use my data",,2,TRUE
262187716,48,Male,-0.06,0.06,-0.2,0.18,7,3,2,"Yes, use my data",,3,TRUE
263496132,22,Male,-0.06,0.17,0.17,0,7,1,1,"Yes, use my data",,1,TRUE
264118372,58,male,0.06,-0.03,-0.03,0,7,1,1,"Yes, use my data",,1,TRUE
264899398,32,Male,0.22,0.19,0.18,0.08,3,2,1,"Yes, use my data",,2,TRUE
265191732,30,Male,-0.19,0.25,0.01,0.21,7,3,2,"Yes, use my data",,2,TRUE
266569838,40,Female,0.86,0.78,0.76,0.22,5,4,1,"Yes, use my data",,5,TRUE
290603070,19,female,0.25,0.03,0.03,0,6,1,1,"Yes, use my data",,1,TRUE
292746900,47,female,-0.08,0.11,0.09,0.06,7,2,1,"Yes, use my data",,2,TRUE
294991570,26,F,0,-0.11,-0.11,0,7,1,1,"Yes, use my data",,2,TRUE
299397832,31,Male,0.11,0.44,0.28,0.28,3,3,3,"Yes, use my data",,3,TRUE
301706853,38,female,-0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
307900444,21,Male,-0.22,0.11,0,0.61,7,4,3,"Yes, use my data",,3,TRUE
309931438,22,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
316187377,32,Female,0.36,0.75,0.41,0.62,7,5,4,"Yes, use my data",,2,TRUE
329904423,29,Lady :),0.08,0.06,0.03,0.01,7,2,2,"Yes, use my data",,1,TRUE
331390964,20,female,0.83,0.17,-0.03,0.22,7,4,2,"Yes, use my data",,5,TRUE
337513661,30,male,0.06,0.53,0.39,0.18,7,4,1,"Yes, use my data",,3,TRUE
355671407,23,female,0.25,0.06,0.02,0.1,1,2,1,"Yes, use my data",,2,TRUE
366147815,52,female,0.67,0.83,0.85,0.07,3,2,1,"Yes, use my data",,2,TRUE
375894219,22,female,0.22,0.22,0.18,0.07,7,3,1,"Yes, use my data",,3,TRUE
377168445,40,Female,0.86,0.67,0.65,0.68,5,4,4,"Yes, use my data",,4,TRUE
383876024,18,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
389586549,32,Male,-0.03,0.11,0.11,0,7,7,1,"Yes, use my data",,1,TRUE
396043905,24,female,0.08,-0.03,-0.02,0.01,7,2,1,"Yes, use my data",,2,TRUE
397460714,20,male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
400552752,37,female,0.89,0.92,0.94,0.07,7,5,4,"Yes, use my data",,4,TRUE
404662778,22,male,-0.17,0.06,-0.21,0.21,7,3,1,"Yes, use my data",,2,TRUE
404695321,35,Female,-0.81,-0.69,-0.63,0.36,7,4,1,"Yes, use my data",,2,TRUE
412331690,43,female,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
412493991,24,Female,-0.03,0.03,-0.06,0.18,7,3,2,"Yes, use my data",,3,TRUE
417315467,28,female,0.86,0.78,NA,1,7,6,7,"Yes, use my data",,7,TRUE
420085544,34,Female,0.53,0.56,0.06,0.26,6,4,1,"Yes, use my data",,4,TRUE
423455956,39,Female,0.39,0.47,0.46,0.08,4,3,2,"Yes, use my data",,4,TRUE
434163311,45,female,0.33,0.14,0.04,0.22,6,3,4,"Yes, use my data",,4,TRUE
440582805,18,Female,0.53,0.75,0.73,0.74,7,6,6,"Yes, use my data",,6,TRUE
