"","V1","date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"1",1,71218,"15:13:16",45790130,787416013,"4.0.10.0",1,2,"demographics","age",0,0,0,0,0,0,"38",1,2910,0
"2",2,71218,"15:13:16",45790130,787416013,"4.0.10.0",1,3,"demographics","gender",0,0,0,0,0,0,"Male",1,3077,0
"3",3,71218,"15:14:06",94479736,148697371,"4.0.10.0",1,2,"demographics","age",0,0,0,0,0,0,"33",1,2264,0
"4",4,71218,"15:14:06",94479736,148697371,"4.0.10.0",1,3,"demographics","gender",0,0,0,0,0,0,"Male",1,3284,0
"5",5,71218,"15:17:26",697148441,493020342,"4.0.10.0",1,2,"demographics","age",0,0,0,0,0,0,"33",1,6678,0
"6",6,71218,"15:17:26",697148441,493020342,"4.0.10.0",1,3,"demographics","gender",0,0,0,0,0,0,"female",1,4627,0
"7",7,71218,"15:18:55",761197788,424504674,"4.0.10.0",1,2,"demographics","age",0,0,0,0,0,0,"28",1,3048,0
"8",8,71218,"15:18:55",761197788,424504674,"4.0.10.0",1,3,"demographics","gender",0,0,0,0,0,0,"female",1,4042,0
"9",9,71218,"15:22:27",832467329,883659666,"4.0.10.0",1,2,"demographics","age",0,0,0,0,0,0,"30",1,2766,0
"10",10,71218,"15:22:27",832467329,883659666,"4.0.10.0",1,3,"demographics","gender",0,0,0,0,0,0,"male",1,3969,0
"11",11,71218,"15:22:52",558161958,46903798,"4.0.10.0",1,2,"demographics","age",0,0,0,0,0,0,"60",1,4278,0
"12",12,71218,"15:22:52",558161958,46903798,"4.0.10.0",1,3,"demographics","gender",0,0,0,0,0,0,"female",1,6042,0
"13",13,71218,"15:28:40",131692243,488167179,"4.0.10.0",1,2,"demographics","age",0,0,0,0,0,0,"32",1,2277,0
"14",14,71218,"15:28:40",131692243,488167179,"4.0.10.0",1,3,"demographics","gender",0,0,0,0,0,0,"female",1,3209,0
"15",15,71218,"15:29:38",750647352,28512505,"4.0.10.0",1,2,"demographics","age",0,0,0,0,0,0,"35",1,10869,0
"16",16,71218,"15:29:38",750647352,28512505,"4.0.10.0",1,3,"demographics","gender",0,0,0,0,0,0,"Female",1,5134,0
"17",17,71218,"15:31:58",590826703,74695784,"4.0.10.0",1,2,"demographics","age",0,0,0,0,0,0,"29",1,2696,0
"18",18,71218,"15:31:58",590826703,74695784,"4.0.10.0",1,3,"demographics","gender",0,0,0,0,0,0,"male",1,2307,0
"19",19,71218,"15:33:25",857942750,752504405,"4.0.10.0",1,2,"demographics","age",0,0,0,0,0,0,"39",1,2263,0
"20",20,71218,"15:33:25",857942750,752504405,"4.0.10.0",1,3,"demographics","gender",0,0,0,0,0,0,"f",1,2436,0
"21",21,71218,"15:33:28",590826703,74695784,"4.0.10.0",1,2,"demographics","age",0,0,0,0,0,0,"29",1,53950,0
"22",22,71218,"15:33:28",590826703,74695784,"4.0.10.0",1,3,"demographics","gender",0,0,0,0,0,0,"male",1,21360,0
"23",23,71218,"15:38:48",628784538,682413259,"4.0.10.0",1,2,"demographics","age",0,0,0,0,0,0,"26",1,2948,0
