"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"080918","17:22:27","320555493","743970945","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","q","1","3156","0"
"080918","17:22:27","320555493","743970945","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","q","1","1859","0"
"080918","17:22:27","320555493","743970945","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","q","1","1404","0"
"080918","11:48:44","39586963","347524095","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","57bedd51eb2a5400013425c4","1","17725","0"
"080918","11:48:44","39586963","347524095","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","55","1","4206","0"
"080918","11:48:44","39586963","347524095","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","8382","0"
"080918","09:16:06","288208","77268698","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","57268a30f2a83f000f6b02eb","1","7496","0"
"080918","09:16:06","288208","77268698","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","35","1","2218","0"
"080918","09:16:06","288208","77268698","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","2998","0"
"080918","12:26:47","173822310","408892577","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5a2e4e2f443c10000121161c","1","4158","0"
"080918","12:26:47","173822310","408892577","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","27","1","3385","0"
"080918","12:26:47","173822310","408892577","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4675","0"
"080918","12:33:01","975290723","210361004","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5aa61dd36475f90001a05dcf","1","10103","0"
"080918","12:33:01","975290723","210361004","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","45","1","2913","0"
"080918","12:33:01","975290723","210361004","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","3962","0"
"080918","12:36:08","789152872","24223154","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5add1f44dee8590001b02da0","1","5913","0"
"080918","12:36:08","789152872","24223154","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","23","1","3223","0"
"080918","12:36:08","789152872","24223154","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Cis Female","1","9264","0"
"080918","12:35:22","124658429","359728694","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","57c66e67610224000120a556","1","9314","0"
"080918","12:35:22","124658429","359728694","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","36","1","3127","0"
"080918","12:35:22","124658429","359728694","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3337","0"
"080918","12:35:17","598884680","833954947","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ade7f8fcd58990001e49a59","1","27645","0"
"080918","12:35:17","598884680","833954947","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","28","1","3215","0"
"080918","12:35:17","598884680","833954947","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","1674","0"
"080918","11:38:38","61413571","880653715","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","57ddcb45c3e5930001446949","1","4222","0"
"080918","11:38:38","61413571","880653715","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","32","1","2237","0"
"080918","11:38:38","61413571","880653715","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","woman","1","2849","0"
"080918","12:45:40","763841809","418702875","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5a13e58baac54e00011ac832","1","5649","0"
"080918","12:45:40","763841809","418702875","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","34","1","3199","0"
"080918","12:45:40","763841809","418702875","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","5453","0"
"080918","11:49:35","193925885","72182085","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","","1","19320","0"
"080918","11:50:13","741409424","376635527","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ac4c730f69e940001d977e1","1","6001","0"
"080918","11:50:13","741409424","376635527","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","24 ","1","5499","0"
"080918","11:50:13","741409424","376635527","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3799","0"
"080918","09:50:58","44712698","675918708","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5a53443df6c5170001948b40","1","9235","0"
"080918","09:50:58","44712698","675918708","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","39","1","4959","0"
"080918","09:50:58","44712698","675918708","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","7185","0"
"080918","12:50:58","783047680","956349113","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","58be162d2e4dc0000164b12c","1","57202","0"
"080918","12:50:58","783047680","956349113","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","35","1","3373","0"
"080918","12:50:58","783047680","956349113","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","6569","0"
"080918","12:53:55","508755107","460049010","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b27f73771f2040001ad4e1b","1","10051","0"
"080918","12:53:55","508755107","460049010","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","38","1","5892","0"
"080918","12:53:55","508755107","460049010","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","4518","0"
"080918","11:54:40","667910883","72372970","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","582383e997b5100001b9bb09","1","3829","0"
"080918","11:54:40","667910883","72372970","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","32","1","3373","0"
"080918","11:54:40","667910883","72372970","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","1858","0"
"080918","11:54:58","822976059","73938476","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","57e7fa1d6598aa0001993a6b","1","10791","0"
"080918","11:54:58","822976059","73938476","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","22","1","1899","0"
"080918","11:54:58","822976059","73938476","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","2773","0"
"080918","12:55:59","60950759","37441758","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5a03d20a7ecfc50001be0a7a","1","13081","0"
"080918","12:55:59","60950759","37441758","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","33","1","3298","0"
"080918","12:55:59","60950759","37441758","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","3693","0"
"080918","12:56:18","524045576","879040610","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5a0b8d4c7ecfc50001be130d","1","5933","0"
"080918","12:56:18","524045576","879040610","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","27","1","9280","0"
"080918","12:56:18","524045576","879040610","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","4038","0"
"080918","11:59:48","767837566","414118202","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b0e2bce30d56200015576ea","1","13259","0"
"080918","11:59:48","767837566","414118202","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","19","1","3636","0"
"080918","11:59:48","767837566","414118202","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","4889","0"
"080918","04:11:28","459639878","204470556","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b0c566030d56200015550a1","1","17943","0"
"080918","04:11:28","459639878","204470556","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","43","1","3855","0"
"080918","04:11:28","459639878","204470556","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","6249","0"
"080918","13:04:36","726455798","612719567","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ae3a155f4134e000107e183","1","20283","0"
"080918","13:04:36","726455798","612719567","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","22","1","2537","0"
"080918","13:04:36","726455798","612719567","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","2863","0"
"080918","13:05:05","989419638","257035865","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5acb9984e1099600016ad148","1","19048","0"
"080918","13:05:05","989419638","257035865","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","34","1","3865","0"
"080918","13:05:05","989419638","257035865","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","5697","0"
"080918","10:06:04","782623127","861245923","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","58d4c4c287b2420001263b6a","1","7037","0"
"080918","10:06:04","782623127","861245923","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","51","1","3619","0"
"080918","10:06:04","782623127","861245923","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","4267","0"
"080918","13:07:41","502145183","995276234","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5b0a1a4bd282ff00015b5625","1","16701","0"
"080918","13:07:41","502145183","995276234","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","18","1","4221","0"
"080918","13:07:41","502145183","995276234","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","14844","0"
"080918","12:10:21","907233042","199138224","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ace7a9be9d7a30001c2d8c7","1","7683","0"
"080918","12:10:21","907233042","199138224","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","26","1","3671","0"
"080918","12:10:21","907233042","199138224","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4341","0"
"080918","13:11:13","841380207","99792694","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5ad37792b438910001aca81e","1","12953","0"
"080918","13:11:13","841380207","99792694","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","20","1","2915","0"
"080918","13:11:13","841380207","99792694","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","nonbinary","1","2927","0"
"080918","11:11:29","216392615","198956190","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","55e4575ac70c7a00052a5ad4","1","3387","0"
"080918","11:11:29","216392615","198956190","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","37","1","3863","0"
"080918","11:11:29","216392615","198956190","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","4328","0"
"080918","13:11:22","405836187","700535080","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","5a6fa72d9cdd180001775149","1","15841","0"
"080918","13:11:22","405836187","700535080","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","35","1","2560","0"
"080918","13:11:22","405836187","700535080","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","2105","0"
"080918","12:12:16","833516971","51723877","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","57210674951c9b0011d3eaaa","1","6339","0"
"080918","12:12:16","833516971","51723877","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","53","1","4873","0"
"080918","12:12:16","833516971","51723877","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","5908","0"
"080918","13:13:15","398881517","4793598","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","58a5cf959e040a0001399f07","1","2838","0"
"080918","13:13:15","398881517","4793598","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","26","1","1875","0"
"080918","13:13:15","398881517","4793598","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","2232","0"
"080918","10:12:08","533106182","207177671","4.0.10.0","1","1","demographics","ProlificCode","0","0","0","0","0","0","591696452568db0001a73b0c","1","110086","0"
"080918","10:12:08","533106182","207177671","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","31","1","4499","0"
"080918","10:12:08","533106182","207177671","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","6338","0"
