unique_id,experiment,age,gender,AMP_domain,AMP_mean_response,AMP_effect,IAAMP_influence_rate
1_623370736,1,24,male,Valence,0.542,0.58,0
1_624000466,1,56,male,Valence,0.472,0.33,0.54
1_625807543,1,30,female,Valence,0.819,-0.03,0
1_629123938,1,55,female,Valence,0.764,0.14,0
1_631017668,1,18,male,Valence,0.278,0,0
1_642507638,1,20,female,Valence,0.569,0.31,0
1_644670624,1,44,male,Valence,0.556,0.11,0
1_644896067,1,34,male,Valence,0.389,0.17,0.25
1_646467030,1,22,male,Valence,0.472,-0.11,0
1_649527637,1,23,male,Valence,0.319,0.53,0.07
1_650062019,1,21,male,Valence,0.944,-0.06,0
1_654180193,1,22,female,Valence,0.764,0.25,0.01
1_661225736,1,21,male,Valence,0.583,0.22,0.82
1_662418183,1,22,male,Valence,0.583,0.72,0
1_664777447,1,34,female,Valence,0.681,0.14,0.06
1_667992195,1,48,male,Valence,0.667,-0.17,0.26
1_673207789,1,24,female,Valence,0.806,0.28,0.56
1_674778814,1,25,male,Valence,0.514,-0.03,0
1_678813687,1,25,male,Valence,0.444,0.17,0.71
1_680565186,1,20,male,Valence,0.472,0.06,0.17
1_681914111,1,21,female,Valence,0.639,-0.11,0.15
1_682673219,1,32,male,Valence,0.597,0.19,0.11
1_691711631,1,23,male,Valence,0.597,0.14,0.15
1_693834045,1,40,male,Valence,0.542,0.92,0
1_693914553,1,31,male,Valence,0.889,0.22,0.17
1_694642661,1,40,male,Valence,0.667,0,0
1_702259833,1,19,male,Valence,0.458,0.03,0.15
1_703874084,1,35,female,Valence,0.417,-0.67,0.01
1_710251621,1,23,male,Valence,0.361,0.61,0.36
1_713549915,1,37,female,Valence,0.597,0.25,0
1_715508182,1,30,male,Valence,0.486,-0.14,0.19
1_723522308,1,18,male,Valence,0.542,0.81,0.15
1_728278613,1,30,female,Valence,0.528,0.06,0.08
1_739309332,1,25,female,Valence,0.417,0.83,0.54
1_743586875,1,23,male,Valence,0.653,-0.03,0
1_744573872,1,30,female,Valence,0.5,-0.06,0.01
1_744861409,1,37,male,Valence,0.597,-0.14,0
1_748456760,1,41,male,Valence,0.667,0.28,0
1_751357436,1,33,male,Valence,0.528,0.94,0
1_752525902,1,25,female,Valence,0.694,0.11,0.06
1_761492292,1,38,female,Valence,0.556,0.06,0
1_778956781,1,31,male,Valence,0.694,0.22,0.38
1_781170864,1,42,female,Valence,0.417,0.17,0
1_781584642,1,20,male,Valence,0.653,-0.03,0.07
1_783553987,1,26,male,Valence,0.583,0,0.19
1_787556287,1,24,female,Valence,0.708,0.03,0.11
1_792414014,1,43,male,Valence,0.75,0.22,0.01
1_794409030,1,22,male,Valence,0.403,0.53,0
1_795591426,1,21,male,Valence,0.708,-0.42,0.25
1_796174258,1,24,female,Valence,0.389,0.06,0.1
1_806024296,1,25,female,Valence,0.681,-0.03,0.21
1_807373390,1,50,male,Valence,0.681,-0.03,0.04
1_813184844,1,20,male,Valence,0.681,-0.03,0.12
1_815625259,1,45,female,Valence,0.611,0.11,0.25
1_816373454,1,33,female,Valence,0.597,0.03,0
1_817192966,1,23,female,Valence,0.861,0.17,0.22
